id,marital_status_ids:id,disability,region,date_from,maximum_marginal_rate,portion_to_be_abated,addi_port_to_be_abated_per_dep,addi_port_for_disabled_armed_forces,effe_mon_with_rate_at_the_lim_of_the_brac,table,dependent,disabilit_armed_forces,pensioner,base_salary,zero_dependents,one_dependent,two_dependents,three_dependents,four_dependents,five_or_more_dependents
income_tax_nmarried_ndisab_a_01_01_2023_798,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,798,0,0,0,0,0,0
income_tax_nmarried_ndisab_a_01_01_2023_812,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,812,0.4,0,0,0,0,0
income_tax_nmarried_ndisab_a_01_01_2023_863,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,863,2.3,0.5,0,0,0,0
income_tax_nmarried_ndisab_a_01_01_2023_964,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,964,4.6,2.3,0,0,0,0
income_tax_nmarried_ndisab_a_01_01_2023_1051,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1051,5.5,3.8,0.8,0,0,0
income_tax_nmarried_ndisab_a_01_01_2023_1113,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1113,6.1,4.5,2.2,0,0,0
income_tax_nmarried_ndisab_a_01_01_2023_1194,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1194,7.4,5.7,3.5,1.8,0,0
income_tax_nmarried_ndisab_a_01_01_2023_1280,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1280,8.2,6.4,4.2,2.5,0.7,0.7
income_tax_nmarried_ndisab_a_01_01_2023_1380,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1380,8.9,7.3,4.8,3.2,1.5,1.5
income_tax_nmarried_ndisab_a_01_01_2023_1466,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1466,9.7,8,5.6,4.6,2.8,2.8
income_tax_nmarried_ndisab_a_01_01_2023_1609,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1609,10.4,8.6,7,5.3,3.5,3.5
income_tax_nmarried_ndisab_a_01_01_2023_1762,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1762,11.4,10.4,8,6.2,4.6,4.6
income_tax_nmarried_ndisab_a_01_01_2023_1925,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,1925,12.7,12.1,10.2,8.8,8.2,8.2
income_tax_nmarried_ndisab_a_01_01_2023_2035,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,2035,13.5,12.7,10.9,10.2,8.8,8.8
income_tax_nmarried_ndisab_a_01_01_2023_2151,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,2151,14.1,13.4,11.5,10.9,9.5,9.5
income_tax_nmarried_ndisab_a_01_01_2023_2283,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,2283,14.9,14.2,12.3,11.6,10.2,10.2
income_tax_nmarried_ndisab_a_01_01_2023_2437,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,2437,15.5,14.9,13,12.3,10.9,10.9
income_tax_nmarried_ndisab_a_01_01_2023_2609,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,2609,16.9,15.5,14.3,13,12.3,12.3
income_tax_nmarried_ndisab_a_01_01_2023_2848,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,2848,17.6,16.3,15,13.6,13,13
income_tax_nmarried_ndisab_a_01_01_2023_3195,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,3195,18.5,17.2,15.8,14.4,13.7,13.7
income_tax_nmarried_ndisab_a_01_01_2023_3637,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,3637,19.8,18.8,17.6,17.2,16.1,16.1
income_tax_nmarried_ndisab_a_01_01_2023_4239,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,4239,20.7,19.4,18.3,17.9,17.5,17.5
income_tax_nmarried_ndisab_a_01_01_2023_4786,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,4786,21.7,20.6,19.3,18.9,18.6,18.6
income_tax_nmarried_ndisab_a_01_01_2023_5346,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,5346,22.3,21.9,20.2,19.6,19.2,19.2
income_tax_nmarried_ndisab_a_01_01_2023_6052,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,6052,23,22.5,20.9,20.4,19.9,19.9
income_tax_nmarried_ndisab_a_01_01_2023_6924,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,6924,24.4,23.9,22.5,22.3,22.1,22.1
income_tax_nmarried_ndisab_a_01_01_2023_8171,not_married_pt,FALSE,a,2023-01-01,,,,,,,,,,8171,25.1,24.9,23.9,23,22.7,22.7
